"file","status","original_bytes","compressed_bytes","savings_percent"
"idle\albedo_anchor_from_codex.mp4","skipped","6966919","670806","90.37"
"idle\albedo_zoom_01_face_eyes.mp4","skipped","8707580","717038","91.77"
"idle\albedo_zoom_02_horns_hair.mp4","skipped","7547761","690406","90.85"
"idle\albedo_zoom_03_wings.mp4","skipped","7851127","658829","91.61"
"idle\albedo_zoom_04_gown_jewelry.mp4","skipped","8638659","678326","92.15"
"idle\albedo_zoom_l2_01_eye_iris.mp4","skipped","5960998","483345","91.89"
"idle\albedo_zoom_l2_02_lips_skin.mp4","skipped","5639356","445172","92.11"
"idle\albedo_zoom_l2_03_horn_filigree.mp4","skipped","7186829","628535","91.25"
"idle\albedo_zoom_l2_04_ahoge_hair_sheen.mp4","skipped","7804391","814362","89.57"
"idle\albedo_zoom_l2_05_feather_barbs.mp4","skipped","10183187","890300","91.26"
"idle\albedo_zoom_l2_06_wing_edge_rimlight.mp4","skipped","8920141","729327","91.82"
"idle\albedo_zoom_l2_07_sapphire_choker.mp4","skipped","8731479","810362","90.72"
"idle\albedo_zoom_l2_08_glove_pauldron.mp4","skipped","7564045","582239","92.3"
"idle\albedo_zoom_l2_09_neckline_jewelry.mp4","skipped","7303205","677539","90.72"
"idle\albedo_zoom_l2_10_bodice_scrollwork.mp4","skipped","9882513","798051","91.92"
"idle\albedo_zoom_l2_11_opera_glove_wrist.mp4","skipped","7231521","607836","91.59"
"idle\albedo_zoom_l2_12_waist_filigree_silk.mp4","skipped","9300546","708897","92.38"
"idle\albedo_zoom_l2_13_neckline_bodice.mp4","skipped","9449343","811019","91.42"
"idle\albedo_zoom_l2_14_navel_waist.mp4","skipped","9364359","679874","92.74"
"l1\albedo_zoom_01_face_eyes.mp4","skipped","8502858","1233177","85.5"
"l1\albedo_zoom_02_horns_hair.mp4","encoded","8292786","1288755","84.46"
"l1\albedo_zoom_03_wings.mp4","skipped","8002402","1102846","86.22"
"l1\albedo_zoom_04_gown_jewelry.mp4","skipped","8462890","1216599","85.62"
"l1_reverse\albedo_zoom_01_face_eyes.mp4","skipped","8397670","1253184","85.08"
"l1_reverse\albedo_zoom_02_horns_hair.mp4","skipped","8222390","1329600","83.83"
"l1_reverse\albedo_zoom_03_wings.mp4","skipped","7647094","1119506","85.36"
"l1_reverse\albedo_zoom_04_gown_jewelry.mp4","skipped","9307037","1279222","86.26"
"l2\albedo_zoom_l2_01_eye_iris.mp4","skipped","7235924","1024435","85.84"
"l2\albedo_zoom_l2_02_lips_skin.mp4","skipped","7314258","978469","86.62"
"l2\albedo_zoom_l2_03_horn_filigree.mp4","skipped","7611181","1059498","86.08"
"l2\albedo_zoom_l2_04_ahoge_hair_sheen.mp4","skipped","8016823","1015051","87.34"
"l2\albedo_zoom_l2_05_feather_barbs.mp4","skipped","8075157","1087711","86.53"
"l2\albedo_zoom_l2_06_wing_edge_rimlight.mp4","skipped","7753788","1072068","86.17"
"l2\albedo_zoom_l2_07_sapphire_choker.mp4","skipped","7991101","1180953","85.22"
"l2\albedo_zoom_l2_08_glove_pauldron.mp4","skipped","8085916","1072923","86.73"
"l2\albedo_zoom_l2_09_neckline_jewelry.mp4","skipped","8131958","1219995","85"
"l2\albedo_zoom_l2_10_bodice_scrollwork.mp4","skipped","8597878","1414410","83.55"
"l2\albedo_zoom_l2_11_opera_glove_wrist.mp4","skipped","7958518","1295168","83.73"
"l2\albedo_zoom_l2_12_waist_filigree_silk.mp4","skipped","8971952","1515416","83.11"
"l2\albedo_zoom_l2_13_neckline_bodice.mp4","skipped","8810111","1107284","87.43"
"l2\albedo_zoom_l2_14_navel_waist.mp4","skipped","9037683","1430519","84.17"
"l2_reverse\albedo_zoom_l2_01_eye_iris.mp4","skipped","7395261","996636","86.52"
"l2_reverse\albedo_zoom_l2_02_lips_skin.mp4","skipped","7254960","922341","87.29"
"l2_reverse\albedo_zoom_l2_03_horn_filigree.mp4","encoded","7441744","1054348","85.83"
"l2_reverse\albedo_zoom_l2_04_ahoge_hair_sheen.mp4","encoded","7425901","1138648","84.67"
"l2_reverse\albedo_zoom_l2_05_feather_barbs.mp4","skipped","8475944","1210457","85.72"
"l2_reverse\albedo_zoom_l2_06_wing_edge_rimlight.mp4","skipped","7328290","1101704","84.97"
"l2_reverse\albedo_zoom_l2_07_sapphire_choker.mp4","skipped","8272379","1367425","83.47"
"l2_reverse\albedo_zoom_l2_08_glove_pauldron.mp4","skipped","8295582","1215163","85.35"
"l2_reverse\albedo_zoom_l2_09_neckline_jewelry.mp4","skipped","8249647","1363323","83.47"
"l2_reverse\albedo_zoom_l2_10_bodice_scrollwork.mp4","skipped","8190034","1398715","82.92"
"l2_reverse\albedo_zoom_l2_11_opera_glove_wrist.mp4","skipped","7770446","1192609","84.65"
"l2_reverse\albedo_zoom_l2_12_waist_filigree_silk.mp4","skipped","8447138","1506293","82.17"
"l2_reverse\albedo_zoom_l2_13_neckline_bodice.mp4","skipped","9315726","1386205","85.12"
"l2_reverse\albedo_zoom_l2_14_navel_waist.mp4","skipped","8543499","1305720","84.72"
